ResponseID,Control_1,Control_2_1,Control_2_2,NeedforStructure_1,NeedforStructure_2,NeedforStructure_3,NeedforStructure_4,NeedforStructure_5,NeedforStructure_6,NeedforStructure_7,NeedforStructure_8,NeedforStructure_9,NeedforStructure_10,NeedforStructure_11,NeedforStructure_12,Att_Part1,Att_Part2,PolOrientation,RepDem,Condition,Dem_General_Q1,Dem_General_Q2,Dem_General_Q4,Dem_General_Q5,Dem_General_Q6,Dem_Age,Dem_Gender,Dem_Citizen,Dem_Ethnic,Dem_Race,Dem_MidEast,Dem_US,Dem_YearsInUS,Dem_News,Att_Q1,Att_Q2,Att_Q3,Att_Q4,Att_Q5,Rep_General_Q1,Rep_General_Q2,Rep_General_Q4,Rep_General_Q5,Rep_General_Q6,NeedforStructure,ScenarioGenScore,PolIdentStrength,NeedforStructure_3Recode,NeedforStructure_5Recode,NeedforStructure_7Recode,NeedforStructure_11Recode,ScenarioGen_Q1,ScenarioGen_Q2,ScenarioGen_Q4,ScenarioGen_Q5,ScenarioGen_Q6,ConditionNum
R_1CEJug08SEmEWtk,4,4,4,6,6,4,6,3,6,2,4,6,6,3,5, ,yes,1,1,Consistent, , , , , ,41,2,1,2,6,2,1,41,2,1,1,1,1,2,4,4,4,3,3,5.416666667,-0.280108671,7,4,5,6,5,4,4,4,3,3,1
R_1CfJTsMddJfRhN8,3,4,4,6,6,5,7,5,6,6,7,7,6,6,7, ,yes,7,2,Consistent,6,3,6,6,5,24,1,1,2,5,2,1,24,5,1,1,1,1,2, , , , , ,5.166666667,0.954800946,7,3,3,2,2,6,5,6,6,5,1
R_1CKNG0uXc3vrPrJ,6,6,1,6,6,4,6,4,7,4,6,6,6,2,5, ,yes,2,1,Inconsistent,2,2,3,1,1,27,2,1,2,6,2,1,27,6,1,1,1,2,2, , , , , ,5.5,-0.902077505,6,4,4,4,6,2,6,3,1,1,0
R_1CmvCftGPM69p0I,6,5,2,5,3,5,5,5,5,3,3,5,5,5,5, ,Yes,7,2,Inconsistent, , , , , ,23,2,1,2,6,2,1,23,3,1,1,1,1,2,3,5,3,2,3,4.166666667,-0.757361772,7,3,3,5,3,3,3,3,2,3,0
R_1cScJ7dqUlTDRRT,6,6,2,7,7,2,7,1,7,7,1,6,7,1,7, ,YES,3,1,Inconsistent,5,3,6,5,5,40,2,1,2,6,2,1,40,6,1,1,1,1,2, , , , , ,5.833333333,0.713450474,5,6,7,1,7,5,5,6,5,5,0
R_1cTfPcNeosiLSkt,7,7,1,1,1,7,7,5,7,1,1,1,7,1,1, ,Yes,6,2,Consistent,5,7,7,6,6,34,2,1,2,6,2,1,34,7,1,1,1,2,2, , , , , ,3.666666667,0.602673747,6,1,3,7,7,5,1,7,6,6,1
R_1cV2kJb5dFZvtUu,5,5,3,6,5,5,4,2,4,5,5,5,7,3,6, ,yes,2,1,Inconsistent,2,4,2,3,3,46,2,1,2,8,2,1,46,7,1,1,1,1,2, , , , , ,4.916666667,-0.726138617,6,3,6,3,5,2,4,2,3,3,0
R_1Cx5gNv76YXvt5H,6,5,6,2,7,5,3,3,5,6,3,4,4,5,6,5,yes,6,1,Consistent, , , , , ,27,1,1,2,6,2,1,27,7,1,1,1,1,2,6,6,5,1,1,3.916666667,-0.727422923,2,3,5,2,3,6,2,5,1,1,1
R_1cXMTB10wUiVGcB,6,5,3,3,5,4,6,3,6,3,5,7,5,3,2, ,yes,6,2,Consistent,6,6,7,6,6,39,2,1,2,6,2,1,39,7,1,1,1,1,2, , , , , ,4.833333333,0.835386142,6,4,5,5,5,6,2,7,6,6,1
R_1d0LYcIEvhIY8rd,5,6,3,5,4,5,5,5,3,3,3,3,4,4,5, ,yes,3,3, ,6,3,5,5,5,29,1,1,3,6,2,1,29,5,1,1,1,1,2, , , , , ,3.916666667, , ,3,3,5,4,6,5,5,5,5, 
R_1d5KYh8gkojzpwk,6,6,2,5,5,6,5,4,4,2,2,6,5,6,3, ,Yes,5,2,Inconsistent, , , , , ,25,2,1,2,6,2,1,25,6,1,1,1,1,2,5,3,3,4,4,4.083333333,0.106821892,5,2,4,6,2,5,5,3,4,4,0
R_1DAWfrSn1i8jvqn,2,1,7,7,7,1,7,1,7,7,7,7,7,1,7, ,yes,7,2,Inconsistent, , , , , ,23,1,1,2,2,2,1,23,4,1,1,1,1,2,1,2,2,2,3,6.5,-0.721889038,7,7,7,1,7,1,6,2,2,3,0
R_1DCPr9kecuuVAec,4,5,4,5,6,2,6,5,6,2,5,6,6,2,5, ,yes,5,2,Consistent,3,4,5,4,4,37,2,1,2,2,2,2,12,3,2,2,1,1,1, , , , , ,5.5,-0.009597665,5,6,3,6,6,3,4,5,4,4,1
R_1dcUvyvppg8jmgt,5,7,1,7,7,5,6,1,6,2,5,6,7,2,6, ,Yes,6,2,Consistent,5,4,7,5,5,27,1,1,2,6,2,1,27,4,1,1,1,2,2, , , , , ,6,0.703753052,6,3,7,6,6,5,4,7,5,5,1
R_1dFwOqF4xjwsK37,5,5,2,5,6,3,7,2,7,1,5,6,7,3,5, ,yes,1,1,Inconsistent,3,4,5,2,2,43,2,1,2,6,2,1,43,7,1,1,1,1,2, , , , , ,5.916666667,-0.544239208,7,5,6,7,5,3,4,5,2,2,0
R_1DG2tTphGomxfYY,3,5,4,6,5,5,3,3,3,5,6,7,5,5,5, ,yes,6,3, ,6,6,7,5,4,32,2,1,2,6,1,1,32,5,1,1,1,1,2, , , , , ,4.5, , ,3,5,3,3,6,2,7,5,4, 
R_1djpooM68y39xGN,7,7,1,6,6,6,6,2,6,2,6,5,6,5,5, ,yes,2,1,Consistent, , , , , ,62,2,1,2,6,2,1,62,6,1,1,1,1,2,7,6,7,6,6,5.25,0.945298511,6,2,6,6,3,7,2,7,6,6,1
R_1DnJCRZICr6pZPo,5,3,4,5,6,3,4,3,4,4,3,6,6,3,6, ,yes,7,2,Consistent,6,3,5,5,4,26,2,1,2,6,2,1,22,6,1,1,1,1,2, , , , , ,4.916666667,0.574377571,7,5,5,4,5,6,5,5,5,4,1
R_1DNm7IxnHL2ULPL,5,5,2,5,5,5,6,4,6,3,3,5,3,4,3, ,yes,7,2,Inconsistent, , , , , ,25,1,1,2,6,2,1,25,7,1,1,1,1,2,1,5,2,1,1,4.333333333,-1.493492555,7,3,4,5,4,1,3,2,1,1,0
R_1DNYXKgrCZArSI8,5,4,5,5,5,4,3,5,5,4,5,4,5,4,5, ,yes,5,2,Inconsistent, , , , , ,40,1,1,2,6,2,1,40,4,1,1,1,1,2,5,4,5,3,3,4.333333333,-0.057093698,5,4,3,4,4,5,4,5,3,3,0
R_1dovnG4WJK5Lejt,6,5,3,7,6,2,7,2,7,1,5,7,7,2,6, ,yes,3,1,Inconsistent,5,3,5,5,4,33,1,1,2,6,2,1,33,6,1,1,1,1,2, , , , , ,6.416666667,0.464465202,5,6,6,7,6,5,5,5,5,4,0
R_1DTlcpsFQbnZRhg,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4, ,yes,7,3, , , , , , ,26,1,1,2,6,2,1,26,5,1,1,1,1,2,4,4,4,3,4,4, , ,4,4,4,4, , , , , , 
R_1Dwgrdrzp0wm9ZI,4,4,4,6,4,4,5,3,5,3,4,6,6,4,5, ,yes,1,1,Consistent, , , , , ,50,1,1,2,6,2,1,50,7,1,1,1,1,2,7,1,7,6,6,4.916666667,1.559298639,7,4,5,5,4,7,7,7,6,6,1
R_1EapQ8bUSDBCmSj,6,7,2,6,6,4,5,6,6,6,5,6,6,4,6, ,yes,7,2,Consistent,7,6,5,4,4,24,2,1,2,2,2,1,24,5,1,1,1,1,2, , , , , ,4.833333333,0.184451761,7,4,2,2,4,7,2,5,4,4,1
R_1eG0cjicRy7J7X3,5,7,2,5,4,3,3,6,4,4,3,5,3,6,4, ,yes,6,2,Inconsistent, , , , , ,25,2,1,3,2,2,1,7,5,1,1,1,1,2,5,4,3,5,2,3.666666667,-0.156305368,6,5,2,4,2,5,4,3,5,2,0
R_1ePNeADTsV9mhFM,6,6,2,6,7,5,6,2,5,3,7,6,7,3,7, ,yes,6,2,Consistent,7,1,7,6,6,66,2,1,2,5,2,1,66,6,1,1,1,1,2, , , , , ,5.833333333,1.559298639,6,3,6,5,5,7,7,7,6,6,1
R_1eQTXiCmWpQhGEy,5,4,6,5,5,3,5,5,5,3,4,4,5,6,5, ,yes,4,1,Consistent, , , , , ,30,1,1,2,6,2,1,30,5,1,1,1,1,2,5,5,4,4,2,4.416666667,-0.297440893,4,5,3,5,2,5,3,4,4,2,1
R_1etRgcpDB5KAIAN,4,4,3,5,6,3,6,2,5,1,5,6,7,2,6, ,yes,6,2,Consistent,5,5,6,4,5,36,1,1,2,6,2,1,36,5,1,1,1,1,2, , , , , ,5.833333333,0.33641232,6,5,6,7,6,5,3,6,4,5,1
R_1EY8nds7iCsTc2W,5,6,4,3,5,2,5,2,6,2,6,7,3,3,6, ,yes,7,2,Inconsistent, , , , , ,32,1,1,2,6,2,1,32,5,1,1,1,1,2,3,5,4,2,3,5.333333333,-0.644259169,7,6,6,6,5,3,3,4,2,3,0
R_1ezQLH2KwTS41ks,6,6,6,5,5,5,5,5,5,3,5,5,5,6,4, ,yes,5,2,Consistent,5,6,5,3,3,32,1,1,2,6,2,1,32,6,1,1,1,2,2, , , , , ,4.333333333,-0.302693749,5,3,3,5,2,5,2,5,3,3,1
R_1ezVhAMbV3k73Wq,5,5,3,7,7,5,6,2,5,2,6,7,3,4,6, ,Yes,6,2,Consistent,5,7,7,3,3,36,2,1,2,6,2,1,36,5,1,2,1,1,2, , , , , ,5.5,-0.199288568,6,3,6,6,4,5,1,7,3,3,1
R_1f2Vg5hqDb8JYR1,5,5,3,5,3,5,3,5,3,7,5,3,7,5,5, ,yes,7,2,Inconsistent, , , , , ,33,2,1,2,6,2,1, ,6,1,1,1,1,2,3,5,3,3,3,3.666666667,-0.625923669,7,3,3,1,3,3,3,3,3,3,0
R_1f3ZVOPIfXOarwc,5,6,2,7,6,4,6,2,6,2,4,6,6,5,7, ,yes,2,1,Inconsistent,2,6,2,2,2,65,2,1,2,6,2,1,46,6,1,1,1,1,2, , , , , ,5.583333333,-1.239059439,6,4,6,6,3,2,2,2,2,2,0
R_1F5Mw8TZ1E0czrQ,7,7,1,3,2,5,6,2,6,2,2,2,6,6,3, ,yes,4,2,Inconsistent, , , , , ,52,2,1,2,6,2,1,52,5,1,1,1,1,2,4,6,4,3,3,3.916666667,-0.525708722,4,3,6,6,2,4,2,4,3,3,0
R_1FaLDCRnC6iFWro,6,7,1,5,5,2,6,2,5,7,5,7,6,2,5, ,yes,2,1,Consistent, , , , , ,54,1,1,2,6,2,1,54,5,1,1,1,1,2,7,1,7,6,6,5.25,1.559298639,6,6,6,1,6,7,7,7,6,6,1
R_1ffpvLmjzLftart,5,5,3,5,5,4,6,2,6,6,4,6,6,2,6, ,yes,6,2,Consistent,4,4,3,4,4,31,2,1,2,5,2,1,31,4,1,1,1,1,2, , , , , ,5.166666667,-0.125890503,6,4,6,2,6,4,4,3,4,4,1
R_1FfxdGk6k10hNHZ,5,5,3,3,3,4,5,4,6,2,2,3,5,4,3, ,yes,6,2,Consistent,7,2,7,6,5,64,1,1,2,6,2,2,30,5,1,1,1,1,2, , , , , ,4,1.300615944,6,4,4,6,4,7,6,7,6,5,1
R_1FJoT64kVjU7j5G,4,3,6,6,7,1,7,1,7,1,6,7,5,1,7, ,yes,1,1,Consistent, , , , , ,36,2,1,2,6,2,1,36,7,1,1,1,1,2,3,6,5,3,3,6.666666667,-0.522518488,7,7,7,7,7,3,2,5,3,3,1
R_1FkQOY9WklJ4MDC,5,5,3,2,2,6,4,5,3,6,2,3,2,6,3, ,yes,7,2,Consistent,6,4,5,4,4,38,2,1,2,6,2,1,38,5,1,1,1,2,2, , , , , ,2.5,0.320139443,7,2,3,2,2,6,4,5,4,4,1
R_1flc5AWDBmxW5EG,4,6,3,6,7,2,7,1,6,4,6,7,5,2,6,7,yes,2,1,Consistent, , , , , ,54,1,1,2,6,2,1,54,7,1,1,1,1,2,5,5,7,4,4,6.083333333,0.313632255,6,6,7,4,6,5,3,7,4,4,1
R_1FnuQkGNfFCnuLO,5,4,4,6,4,6,5,5,6,3,5,5,5,6,5, ,yes,2,1,Consistent, , , , , ,34,1,1,2,3,2,2,12,4,1,1,1,1,2,7,4,5,6,6,4.416666667,0.964693355,6,2,3,5,2,7,4,5,6,6,1
R_1FOMaCXOAsC6oHE,5,5,2,5,3,6,5,3,5,6,3,3,5,5,5, ,yes,5,2,Consistent,6,6,5,5,5,27,2,1,2,2,2,1,27,4,1,1,1,1,2, , , , , ,3.833333333,0.341860163,5,2,5,2,3,6,2,5,5,5,1
R_1FzHcMGdlbJNbAL,3,3,6,5,6,5,6,2,6,2,5,7,5,3,6, ,yes,1,1,Consistent, , , , , ,74,2,1,2,6,2,1,74,7,1,1,1,1,2,7,1,7,6,6,5.5,1.559298639,7,3,6,6,5,7,7,7,6,6,1
R_1G1WaoBTkaD1PJ7,7,7,1,2,2,6,3,5,3,6,1,1,1,7,1, ,you,3,1,Inconsistent,5,5,5,4,4,39,1,1,2,6,2,1,39,6,1,1,1,1,2, , , , , ,1.833333333,0.087427048,5,2,3,2,1,5,3,5,4,4,0
R_1gABWNd2ycDukpD,6,5,2,5,1,3,4,3,5,3,5,5,2,5,4, ,yes,6,2,Consistent,5,4,5,3,4,25,2,1,2,5,2,1,25,7,1,1,1,1,2, , , , , ,4.083333333,0.078788971,6,5,5,5,3,5,4,5,3,4,1
R_1GCaJd4qiErvXyh,7,7,1,6,7,2,7,1,7,1,7,7,6,1,7, ,yes,4,3, , , , , , ,39,2,1,2,5,2,1,39,5,1,1,1,2,2,2,6,4,2,2,6.75, , ,6,7,7,7, , , , , , 
R_1gCOMgA43wIAZYF,7,6,2,5,5,3,7,2,6,2,6,7,7,5,5, ,yes,7,2,Consistent,4,4,3,1,1,66,2,1,2,6,2,1,66,7,1,1,1,1,2, , , , , ,5.666666667,-0.927852818,7,5,6,6,3,4,4,3,1,1,1
R_1gcpaioyxRRH7IJ,5,6,3,7,7,2,6,1,6,2,5,6,5,4,6, ,yes,6,3, , , , , , ,27,1,1,2,6,2,1,27,6,1,1,1,1,2,5,6,4,3,4,5.916666667, , ,6,7,6,4, , , , , , 
R_1GE8CvtYLqSY4uc,5,5,3,7,7,7,7,7,2,2,7,7,5,2,3, ,yes,7,2,Inconsistent, , , , , ,26,1,1,2,5,2,1,26,5,1,1,1,1,2,1,5,1,1,1,4.916666667,-1.606595158,7,1,1,6,6,1,3,1,1,1,0
R_1gIKVwvHGL3oaJB,5,5,2,5,6,3,7,2,6,2,6,4,7,3,6, ,yes,6,2,Consistent,6,3,6,5,5,30,1,1,2,6,2,1,30,3,1,1,1,1,2, , , , , ,5.75,0.823362843,6,5,6,6,5,6,5,6,5,5,1
R_1gIRGV5d6HBmOYH,5,5,3,6,7,4,6,2,6,6,5,6,6,4,6, ,yes,7,2,Consistent,5,4,6,4,4,38,2,1,1,6,2,1,0,5,1,1,1,1,2, , , , , ,5.333333333,0.323329677,7,4,6,2,4,5,4,6,4,4,1
R_1gNkLOmdlMKi6xO,6,7,7,6,7,1,6,1,7,1,6,7,5,1,7, ,yes,2,1,Inconsistent,5,6,1,4,4,47,1,1,2,6,2,1,47,5,1,2,2,1,2, , , , , ,6.583333333,-0.487783392,6,7,7,7,7,5,2,1,4,4,0
R_1GQfl88tjklWq7v,6,7,1,3,5,6,6,6,7,2,3,3,5,5,3, ,yes,2,1,Inconsistent,3,4,4,3,3,50,1,1,2,6,2,1,50,5,1,1,1,1,2, , , , , ,4,-0.39002104,6,2,2,6,3,3,4,4,3,3,0
R_1gqibPD7ZfBWeUM,6,7,3,7,7,3,6,1,5,5,7,7,6,2,7, ,yes,4,3, , , , , , ,27,2,1,1,6,2,1,27,2,1,1,1,1,2,6,7,7,5,5,6.083333333, , ,5,7,3,6, , , , , , 
R_1Gv1AmYLSJiaJ5S,3,4,7,6,5,7,4,3,3,1,4,1,1,4,1,7,yes,3,1,Inconsistent,2,7,3,2,6,25,1,1,2,6,2,1,25,7,1,1,1,1,2, , , , , ,3.5,-0.705226186,5,1,5,7,4,2,1,3,2,6,0
R_1GysuuikEtvQNMH,5,5,5,4,5,5,6,4,4,5,6,5,5,6,5, ,yes,3,1,Consistent, , , , , ,37,2,1,2,6,2,1,37,4,1,1,1,1,2,4,5,4,3,3,4.333333333,-0.402908697,5,3,4,3,2,4,3,4,3,3,1
R_1H0RElc91I3wwNu,6,6,2,4,6,1,7,1,7,2,6,7,7,1,6, ,yes,2,1,Inconsistent,2,6,4,2,2,48,1,1,2,6,2,1,48,7,1,1,1,1,2, , , , , ,6.416666667,-1.012854232,6,7,7,6,7,2,2,4,2,2,0
R_1HbolnWXtRxQBtl,5,6,3,5,4,5,5,5,6,3,4,4,2,5,4, ,yes,6,2,Inconsistent, , , , , ,27,2,1,2,6,2,1,27,4,1,1,1,1,2,4,5,4,2,3,4,-0.534346799,6,3,3,5,3,4,3,4,2,3,0
R_1HeDjQRLrbmd6uZ,4,5,3,4,3,6,6,5,3,5,4,5,5,3,3, ,Yes,4,2,Consistent,4,4,3,3,4,22,1,1,2,2,2,1,22,5,1,1,1,2,2, , , , , ,3.833333333,-0.257328606,4,2,3,3,5,4,4,3,3,4,1
R_1HhECvM5MVkwJCP,5,5,3,6,6,2,7,1,7,1,5,6,7,2,5, ,yes,6,2,Consistent,5,6,7,4,4,25,1,1,2,6,2,1,25,7,1,1,1,1,2, , , , , ,6.25,0.190832229,6,6,7,7,6,5,2,7,4,4,1
